"BlueAvgSigStrLanded","RedAvgSigStrLanded","BlueAvgSigStrPct","RedAvgSigStrPct","BlueAvgTDLanded","RedAvgTDLanded","BlueReachCms","RedReachCms","BlueHeightCms","RedHeightCms","BlueAge","RedAge","RedWins","BlueWins","Winner"
4.28,3.39,0.47,0.53,2.33,3.41,182.88,190.5,177.8,177.8,29,32,8,2,0
4.43,4.28,0.54,0.51,0.55,1.62,172.72,170.18,167.64,167.64,27,24,2,2,0
2.77,2.52,0.5,0.44,3.91,0.66,185.42,193.04,182.88,193.04,33,30,2,5,1
3.07,5.02,0.49,0.49,0.98,0.63,180.34,182.88,175.26,177.8,29,27,1,1,0
5.38,5.46,0.55,0.63,0.72,0.14,203.2,200.66,190.5,193.04,31,36,7,4,0
4.2,3.66,0.53,0.45,0.5,0.99,182.88,180.34,180.34,170.18,29,32,11,3,1
3.16,3.24,0.42,0.49,1.33,0.46,193.04,193.04,187.96,193.04,35,35,15,6,1
3.77,4.01,0.46,0.59,2.37,0.64,182.88,167.64,180.34,167.64,32,32,6,7,1
2.38,5.5,0.65,0.55,0.44,0.77,200.66,187.96,190.5,190.5,37,26,7,1,0
6.12,3.72,0.47,0.41,0.21,1.45,187.96,190.5,185.42,187.96,34,27,4,5,0
3.88,4.67,0.37,0.5,2.15,1.04,187.96,177.8,180.34,172.72,34,40,19,11,1
5.37,5.48,0.52,0.48,0.81,0.35,175.26,175.26,170.18,175.26,27,28,6,2,1
2.29,8.38,0.38,0.55,0,0,175.26,177.8,175.26,177.8,29,25,3,0,0
2.83,3.42,0.48,0.46,2.48,1.39,160.02,157.48,165.1,160.02,29,38,8,10,1
4.84,3.82,0.53,0.45,0.21,0.37,195.58,195.58,193.04,190.5,32,45,25,5,1
4.11,2.28,0.46,0.6,1.08,5.45,170.18,172.72,172.72,167.64,30,22,3,3,0
5.87,2.99,0.43,0.43,1.38,5.2,177.8,175.26,175.26,167.64,28,31,9,2,1
7.03,4.54,0.6,0.43,1.82,0.8,193.04,185.42,182.88,182.88,31,33,16,3,0
5.13,5.86,0.57,0.44,0.45,0,203.2,213.36,200.66,190.5,35,32,6,11,1
7.5,3.74,0.49,0.42,0.59,1.1,187.96,180.34,185.42,175.26,37,32,12,8,0
4.79,3.87,0.48,0.53,0.56,0.45,190.5,208.28,187.96,198.12,34,32,8,7,1
5.75,6.15,0.55,0.44,1.78,0.28,172.72,182.88,175.26,177.8,35,28,8,8,0
4.06,4.78,0.43,0.52,1.01,3.95,187.96,187.96,180.34,182.88,39,32,3,7,0
3.03,3.13,0.47,0.47,1.95,1.97,172.72,185.42,170.18,175.26,28,36,8,0,1
